ChEMBL_ID,SMILES,EGFR_Probability,Confidence_Level,Drug_Likeness_Score
CHEMBL4645117,OCCOCCOCCOCCOCCOCCOc1c2cc(-c3ccccc3)cc1Cc1cc(-c3ccccc3)cc(c1OCCOCCOCCOCCOCCOCCO)Cc1cc(-c3ccccc3)cc(c1OCCOCCOCCOCCOCCOCCO)Cc1cc(-c3ccccc3)cc(c1OCCOCCOCCOCCOCCOCCO)Cc1cc(-c3ccccc3)cc(c1OCCOCCOCCOCCOCCOCCO)Cc1cc(-c3ccccc3)cc(c1OCCOCCOCCOCCOCCOCCO)Cc1cc(-c3ccccc3)cc(c1OCCOCCOCCOCCOCCOCCO)C2,0.8797662258148193,High,0.35190649032592775
CHEMBL5192223,COc1cc(N2CCC(N3CCCOCC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,0.8753742575645447,High,0.3501497030258179
CHEMBL3220666,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CCN(C)[C@H]3C[C@@H](C)O[C@@H](O[C@@H]4[C@@H](C)[C@H](O[C@H]5C[C@@](C)(OC)[C@@H](O)[C@H](C)O5)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)/C(=N\OCc5ccccc5)[C@H](C)C[C@@]4(C)O)[C@@H]3O)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0.872355580329895,High,0.348942232131958
CHEMBL5397801,COc1cc(N2CCC(N3CC(CC#N)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.8723371624946594,High,0.3489348649978638
CHEMBL505884,C=C[C@](C)(CC/C=C(\C)C(=O)O[C@H]1C[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O[C@@H]4O[C@@H](CO)[C@H](O)[C@H]4O)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO[C@@H]7O[C@H](C)[C@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6OC6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C)O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@H]1O,0.8674758672714233,High,0.34699034690856934
CHEMBL412348,OCC1O[C@@H]2O[C@@H]3C(CO)O[C@H](O[C@@H]4C(CO)O[C@H](O[C@@H]5C(CO)O[C@@H](O[C@@H]6C(CO)O[C@H](O[C@@H]7C(C[Te]CC8O[C@@H]9O[C@@H]%10C(CO)O[C@@H](O[C@@H]%11C(CO)O[C@H](O[C@@H]%12C(CO)O[C@H](O[C@@H]%13C(CO)O[C@H](O[C@@H]%14C(CO)O[C@H](O[C@@H]%15C(CO)O[C@H](O[C@H]8C(O)C9O)C(O)C%15O)C(O)C%14O)C(O)C%13O)C(O)C%12O)C(O)C%11O)C(O)C%10O)O[C@H](O[C@@H]8C(CO)O[C@H](O[C@H]1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,0.866175651550293,High,0.3464702606201172
CHEMBL5189768,COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(-c2cnn(C)c2)cc1Nc1ncc(Br)c(Nc2cc(C)c(C)c(C)c2P(C)(C)=O)n1,0.8658566474914551,High,0.34634265899658206
CHEMBL2057906,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COCP(=O)(O)O[C@H]2[C@H](O)[C@@H](COCP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@H]4[C@H](O)[C@@H](COCP(=O)(O)O)O[C@H]4n4cnc5c(N)ncnc54)O[C@H]3n3cnc4c(N)ncnc43)O[C@H]2n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1O,0.8612983822822571,High,0.34451935291290287
CHEMBL3217816,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC(=O)N(C)[C@H]3C[C@@H](C)O[C@@H](O[C@@H]4[C@@H](C)[C@H](O[C@H]5C[C@@](C)(OC)[C@@H](O)[C@H](C)O5)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)/C(=N/OCOCCOC)[C@H](C)C[C@@]4(C)O)[C@@H]3O)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0.8596764802932739,High,0.3438705921173096
CHEMBL5209094,CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC)CC2)CC1,0.8591592907905579,High,0.34366371631622317
